cod_centro;tipo;cod_estado;cod_municipio;cod_parroquia;nombre_centro;direccion_centro;centro_nuevo
89;1;1;1;1;ESCUELA NACIONAL DE ARTES ESCÉNICAS CESAR RENGIFO;SECTOR: ESQUINA EL CUÑ0. FRENTE CALLE EL CUÑO. IZQUIERDA CALLE CAJA DE AGUA. DERECHA CALLE EL CUÑO. REFERENCIA DIAGONAL A LA JUNTA PARROQUIAL DE ALTAGRACIA;10101007
90;1;1;1;1;UNIDAD EDUCATIVA NACIONL SIMÓN BOLÍVAR;SECTOR: EL CUNO. FRENTE CALLE CUNO A GUANABANO. IZQUIERDA CALLEJÓN CUNO. DERECHA CALLEJÓN GUANABANO. REFERENCIA FRENTE OESTE NUEVE Y ESQUINA CUÑO A GUANABANO;10101008
100;1;1;1;1;UNIDAD EDUCATIVA SANTA TERESA DEL NIÑO JESÚS;SECTOR: ALTAGRACIA. FRENTE CALLE SANTA BARBARA. IZQUIERDA CALLE SANTA BARBARA A CANONIGO. DERECHA AVENIDA PANTEON. REFERENCIA ENTRE PANADERÍA PUENTE PÁEZ E IGLESIA SANTÍSIMA TRINIDAD;10101009
655;4;1;1;1;BIBLIOTECA NACIONAL SALA UNO;FRENTE AL FINAL DE LA AVENIDA PANTEÓN, DIAGONAL ESQUINA CARIDAD, UBICADA ENTRE ESQUINAS BRISAS A REMEDIOS,AL FRENTE DE LA TORRE DE LA PRENSA DOS;10106014
657;1;1;1;1;BIBLIOTECA NACIONAL SALA UNO;SECTOR PANTEON FRENTE AVENIDA PANTEON. DERECHA CALLE CARIDAD. IZQUIERDA CALLE REMEDIO FRENTE AL FINAL DE LA AVENIDA PANTEÓN, EDIFICIO;10101028
704;1;1;1;1;CENTRO DE EDUCACIÓN INICIAL RAFAEL MARIA BARALT;URBANIZACIÓN: CARABALLO. FRENTE PASAJE BLOQUE 1. IZQUIERDA CALLE LOS CUJICITOS. DERECHA CALLE LOS CUJICITOS. REFERENCIA FRENTE AL CENTRO DE DIAGNOSTICO INTEGRAL (CDI);10101010
706;1;1;1;1;CASA DE NUESTRA AMERICA JOSE MARTI;URBANIZACIÓN CASCO II DERECHA AVENIDA URDANETA. IZQUIERDA CALLE JESUITA. FRENTE BULEVAR PANTEON FRENTE A LA CASA DE HISTORIA FUNDACION MENDOZA CASA;10101031
707;1;1;1;1;UNIDAD EDUCATIVA FUENTE DEL SABER;URBANIZACIÓN CASCO I DERECHA AVENIDA OESTE 5. IZQUIERDA AVENIDA OESTE 7. FRENTE AVENIDA OESTE 8 FRENTE AL PRE ESCOLAR AMADA PRESENCIA CASA;10101032
708;1;1;1;1;UNIDAD EDUCATIVA COP ANDRES ELOY BLANCO;URBANIZACIÓN CASCO 1 IZQUIERDA AVENIDA OESTE 5. FRENTE AVENIDA OESTE 8. DERECHA CALLE PINEDA A DOS CUADRA DETRAS DE MIRAFLORES CASA;10101033
709;1;1;1;1;DESARROLLO URBANISTICO ALTAGRACIA IV;FRENTE AVENIDA NORTE 3 ESQUINA ESPERANZA;10101030
70000;2;1;1;1;CONSEJO SUPREMO ELECTORAL;SEDE PRINCIPAL - CENTRO SIMON BOLIVAR;10101011
90011;2;1;1;1;METRO PLAZA VENEZUELA 1;DISTRITO FEDERAL;10101012
90012;2;1;1;1;METRO PLAZA VENEZUELA 2;DISTRITO FEDERAL;10101013
90021;2;1;1;1;METRO LA HOYADA 1;DISTRITO FEDERAL;10101014
90022;2;1;1;1;METRO LA HOYADA 2;DISTRITO FEDERAL;10101015
90031;2;1;1;1;C.N.E. SEDE CENTRAL;DISTRITO FEDERAL;10101016
90041;2;1;1;1;U.C.V. MAQ. 1;DISTRITO FEDERAL;10101017
90042;2;1;1;1;U.C.V. MAQ. 2;DISTRITO FEDERAL;10101018
90051;2;1;1;1;U.C.A.B. MAQ. 1;DISTRITO FEDERAL;10101019
90052;2;1;1;1;U.C.A.B. MAQ. 2;DISTRITO FEDERAL;10101020
90061;2;1;1;1;U.S.B. (VARGAS) MAQ. 1;DISTRITO FEDERAL;10101021
90062;2;1;1;1;U.S.B. (VARGAS) MAQ. 2;DISTRITO FEDERAL;10101022
99511;2;1;1;1;ISLA DE AVES;DEP FEDERAL;10101023
99515;2;1;1;1;AVES DE SOTAVENTO;CARACAS;10101024
160;1;1;1;2;ESCUELA MUNICIPAL JOSE RAMON CAMEJO;SECTOR SARRIA DERECHA CALLE SAN PEDRO. IZQUIERDA CALLE SANTO DOMINGO. FRENTE CALLE REAL DE SARRIA FRENTE A LA CALLE REAL DE SARRIA CASA;10102004
161;1;1;1;2;IPOSTEL;SECTOR LA CANDELARIA DERECHA AVENIDA FUERZAS ARMADAS. FRENTE AVENIDA FUERZAS ARMADAS. IZQUIERDA CALLE LA CRUZ PLAZA LA CANDELARIA LOCAL COMERCIAL;10102017
162;1;1;1;2;COLEGIO DORA BURGUEÑO;SECTOR: LA CANDELARIA. FRENTE AVENIDA AVENIDA OESTE ESTE CON CALLE 19. IZQUIERDA AVENIDA OESTE. DERECHA AVENIDA SUR 21. REFERENCIA DIAGONAL AL CENTRO FINANCIERO PROVINCIAL;10102018
163;1;1;1;2;CENTRO DE EDUCACION INICIAL BOLIVARIANO SIMONCITO;URBANIZACIÓN: CANDELARIA. FRENTE AVENIDA SUR 21 DE BELLAS ARTES. IZQUIERDA CALLE ESTE 1/2 CUADRA DEL BANCO PROVINCIAL. DERECHA CALLE COLIMODIO. REFERENCIA A MEDIA CUADRA DEL CENTRO FINANCIERO PROVINCIAL;10102019
170;1;1;1;2;COLEGIO LA VIRGEN NIÑA;SECTOR SARRIA DERECHA CALLE SAN PEDRO. IZQUIERDA CALLE SANTO DOMINGO. FRENTE CALLE REAL DE SARRIA FRENTE A A COMERCIAL DECODAN. C.A. CASA;10102005
180;1;1;1;2;COLEGIO SAN FRANCISCO DE SALES;URBANIZACIÓN: CANDELARIA. FRENTE AVENIDA ANDRES BELLO. IZQUIERDA CALLE PARADERO. DERECHA CALLE SALESIANO. REFERENCIA FRENTE A LA TORRE FUNDACION DEL NIÑO;10102006
190;1;1;1;2;ESCUELA BASICA JOSEFINA DAVIOT;URBANIZACIÓN: CANDELARIA. FRENTE AVENIDA PARADERO. IZQUIERDA CALLE ESQUINA PARADERO. DERECHA AVENIDA VENUS. REFERENCIA FRENTE AL EDIFICIO SAN JOSE DEL AVILA A 50 METROS DE LA CRUZ ROJA INTERNACIONAL;10102007
200;1;1;1;2;ESCUELA EXPERIMENTAL VENEZUELA;URBANIZACIÓN: CANDELARIA LOS CAOBOS. FRENTE AVENIDA MEXICO. IZQUIERDA CALLE OESTE DOS. DERECHA AVENIDA SUR 23. REFERENCIA A LA IZQUIERDA PLAZA MORELOS FRENTE AL HOTEL ALBA;10102008
201;1;1;1;2;PATRONATO SAN JOSE DE TARBES;URBANIZACIÓN: CANDELARIA LOS CAOBOS. FRENTE AVENIDA ESTE 2. IZQUIERDA AVENIDA SUR 21. DERECHA AVENIDA SUR 23. REFERENCIA FRENTE A LA CLINIC A.L. BRICEÑO ROSSI;10102009
210;1;1;1;2;LICEO ANDRES BELLO;URBANIZACIÓN LA CANDELARIA IZQUIERDA AVENIDA GALERIA. FRENTE AVENIDA MEXICO. DERECHA CALLE MISERICORDIA AL LADO DEL PARQUE CARABOBO EDIFICIO;10102010
220;1;1;1;2;ESCUELA BASICA NACIONAL JOSE ANGEL ALAMO;SECTOR MANDUCA DERECHA CALLE FERRENQUIN. IZQUIERDA CALLE AVENIDA OESTE MANDUCA. FRENTE CALLE AVENIDA ESTE MANDUCA A MEDIA CUADRA DEL RESTAURANTE BARCO DE COLON EDIFICIO;10102011
221;1;1;1;2;OFICINA DEL MINISTERIO DEL TRABAJO;SECTOR CANDELARIA DERECHA CALLE FERRENQUIN. IZQUIERDA CALLE NORTE MANDUCA. FRENTE CALLE AVENIDA ESTE MANDUCA AVENIDA SUR 11 A MEDIA CUADRA DEL RESTAURANTE BARCO DE COLON EDIFICIO;10102012
230;1;1;1;2;UNIDAD EDUCATIVA LICEO ALCAZAR;SECTOR LA CANDELARIA DERECHA CALLE ROMUALDA. IZQUIERDA CALLE MANDUCA. FRENTE CALLE MANDUCA A ROMUALDA A MEDIA CUADRA DEL BANCO EXTERIOR CASA;10102013
231;1;1;1;2;UNIDAD EDUCATIVA COLEGIO LUIS DE CAMOES;SECTOR: LA CANDELARIA. FRENTE AVENIDA SUR 13 ESQUINA DE MIGUELACHOA MISERICORDIA. IZQUIERDA CALLE MIGUELACHO. DERECHA AVENIDA UNIVERSIDAD. REFERENCIA DIAGONAL A LA ESTACION DELMETRO PARQUE CARABOBO;10102014
241;1;1;1;2;INSTI TUTO UNITARIO DEL CENTRO;SECTOR: LA CANDELARIA. FRENTE AVENIDA UNIVERSIDAD. IZQUIERDA CALLE SUR 11 ESQUINA DE MISERICORDIA. DERECHA CALLE SUR 13 ESQUINA MONROY. REFERENCIA FRENTE AL  CICPC Y AL LADO DE LA ESTACION DEL METRO PARQUE CARABOBO;10102015
242;1;1;1;2;DESARROLLO URBANISTICO BELLAS ARTES;SECTOR MEXICO FRENTE AVENIDA MEXICO. IZQUIERDA CALLE SUR 21. DERECHA SENDERO PARCELA 01  EDIFICIO;10102020
80002;2;1;1;2;CENTRO COMERCIAL LOS ANAUCOS;SAN BERNARDINO;10102016
260;1;1;1;3;INSTITUTO CICLO DIVERSIFICADO FERMÍN TORO;URBANIZACIÓN EL SILENCIO DERECHA CALLE SOLIS. IZQUIERDA CALLE MARCOS PARRA. FRENTE CALLE SOLIS A MARCOS PARRA FRENTE  METRO EL SILENCIO EDIFICIO;10103001
261;1;1;1;3;CASA COLONIAL SANTA INÉS CANO AMARILLO;SECTOR CANO AMARILLO FRENTE AVENIDA OESTE DOS. DERECHA CALLE REAL DE CANO AMARILLO. IZQUIERDA CALLE GRAN COLOMBIA FRENTE   SENIAT CAÑO AMARILLO CON PLAZA ALFREDO SADEL CASA;10103002
262;1;1;1;3;OFICINA CONCEJO MUNICIPAL;SECTOR ESQUINA LA PEDRERA DERECHA AVENIDA SUCRE. IZQUIERDA AVENIDA BARAL. FRENTE AVENIDA UNIVERSIDAD FRENTE AVENIDA BARALT   ESTACIÓN METRO CAPITOLIO Y MACDONALDS, EDIFICIO;10103003
263;4;1;1;3;CENTRO SOCIOCULTURAL ISAIAS MEDINA ANGARITA;URBANIZACION EL SILENCIO BLOQUE 4 LOCAL 8-A PARTE NORTE PLAZA OLEARY;10103007
280;1;1;1;3;ESCUELA BÁSICA BOLÍVAR;SECTOR CATEDRAL FRENTE AVENIDA OESTE DOS. DERECHA CALLE ESTACION. IZQUIERDA CALLE CANO AMARILLO DETRÁS DE LA PLAZA BICENTENARIO EDIFICIO;10103004
281;1;1;1;3;UNIDAD EDUCATIVA SAN RAFAEL DE PAGUITA;SECTOR CATEDRAL FRENTE AVENIDA SUCRE DE CATIA. DERECHA CALLE ESTADIO NENE PADRON MIRAFLORES. IZQUIERDA CALLE PLAZA MARINO ESQUINA VIADUCTO  Y LA IGLESIA SAN RAFAEL DE PAGUITA EDIFICIO;10103005
290;1;1;1;3;UNIDAD EDUCATIVA COLEGIO ÁVILA;SECTOR: LA HOYADA. FRENTE CALLE DOCTOR DIAZ A PEINERO. IZQUIERDA CALLE DOCTOR DIAZ. DERECHA CALLE PEINERO. REFERENCIA DETRÁS DE ESQUINA DEL CHORRO Y MINISTERIO DE CIENCIA Y TECNOLOGIA;10103006
291;1;1;1;3;TORRE EL CHORRO;SECTOR LA HOYADA IZQUIERDA AVENIDA UNIVERSIDAD. DERECHA CALLE PASEO COLON. FRENTE CALLE EL CHORRO FRENTE AL MPPCTII EDIFICIO;10103008
292;1;1;1;3;TORRE MPPRE (CANCILLERIA);SECTOR DE CONDE A CARMELITAS TORRE MRE PARROQUIA CATEDRAL  CERCA DE HOTEL EL CONDE EDIFICIO;10103009
11;1;1;1;4;ESCUELA BÁSICA PRIVADA COLEGIO SAN FRANCISCO JAVIER;SECTOR: MECEDORES. FRENTE CALLE ESQUINA HIJO DE DIOS. IZQUIERDA CALLE ESQUINA SEMINARIO. DERECHA CALLE PRINCIPAL DE MECEDORES. REFERENCIA AL LADO DE LA UNIVERSIDAD CATÓLICA SANTA ROSA;10104001
12;4;1;1;4;UNIDAD EDUCATIVA SANTA ISABEL;ESQUINA DE PLANAS A 100 METROS DE LA PLAZA LA PASTORA;10104041
13;1;1;1;4;UNIDAD EDUCATIVA COLEGIO LUZ Y SABER;SECTOR: MANICOMIO. FRENTE CALLE PRINCIPAL DE MANICOMIO. IZQUIERDA CALLE NUEVA AGUA SALUD. DERECHA CALLE SAN RAFAEL. REFERENCIA FRENTE AL EDIFICIO GILDA;10104042
14;1;1;1;4;CENTRO MUNICIPAL DE ATENCIÓN INTEGRAL (CMAI) LA PASTORA;SECTOR: LOS MECEDORES. FRENTE AVENIDA BARALT. IZQUIERDA AVENIDA BARALT. DERECHA CALLE  REAL DE LOS MECEDORES. REFERENCIA FRENTE AL TERMINAL DE CAMIONETAS DE COTIZA;10104043
15;4;1;1;4;MERCADO MUNICIPAL DE LA PASTORA;ENTRE ESQUINAS DE CENTRO Y SANTA ROSA LA PASTORA;10104044
16;1;1;1;4;CENTRO PRE-ESCOLAR ARTURO MICHELENA I;SECTOR: ALTOS DE LIDICE. FRENTE CALLE LA REDOMA. IZQUIERDA PROLONGACIÓN CALLE LA REDOMA. DERECHA CALLE PRINCIPAL. REFERENCIA PARTE POSTERIOR DEL HOSPITAL DE LIDICE;10104045
17;1;1;1;4;UNIDAD EDUCATIVA DISTRITAL JOSÉ LUÍS RAMOS;SECTOR: LIDICE. FRENTE CALLE CAMPO ELIAS. IZQUIERDA PROLONGACIÓN CALLE CAMPO ELIAS. DERECHA CALLE PRINCIPAL DE LIDICE. REFERENCIA FRENTE AL HOSPITAL EL MANICOMIO;10104046
30;1;1;1;4;UNIDAD EDUCATIVA DISTRITAL JOSÉ GIL FORTUL;SECTOR: LA PASTORA. FRENTE AVENIDA FINAL AVENIDA BARALT. IZQUIERDA AVENIDA DOS PILITAS. DERECHA AVENIDA ESQUINA SOLITARIO. REFERENCIA FRENTE AL TRIBUNAL SUPREMO DE JUSTICIA.;10104002
31;1;1;1;4;AMBULATORIO NORTE;SECTOR: LA PASTORA. FRENTE PROLONGACIÓN AVENIDA BARALT. IZQUIERDA CALLE ESQUINA PORTILLO. DERECHA CALLE ESQUINA DOS PILITAS. REFERENCIA FRENTE AL TRIBUNAL SUPREMO DE JUSTICIA;10104003
310;1;1;1;4;UNIDAD EDUCATIVA DISTRITAL BOLIVARIANA JUAN BAUTISTA ALBERDI;SECTOR: MANICOMIO. FRENTE CALLE REAL EL MOLINO. IZQUIERDA CALLE LIDICE. DERECHA CALLE EL MOLINO. REFERENCIA AL LADO DEL MODULO DE LA POLICÍA SUBCOMISARIA DE LA PASTORA.;10104004
312;1;1;1;4;ESCUELA BÁSICA NACIONAL BOLIVARIANA LEÓN TRUJILLO;SECTOR: CAMPO ELIAS DE LIDICE. FRENTE CALLEJÓN BLOQUE 7 CAMPO ELIAS. IZQUIERDA CALLEJÓN ESQUINA CERRO. DERECHA CALLEJÓN ESQUINA REDOMA. REFERENCIA FRENTE AL BLOQUE 7;10104005
313;1;1;1;4;JARDÍN DE INFANCIA DOCTORA  CARMEN VERÓNICA COELLO;SECTOR: MANICOMIO. FRENTE CALLE PRINCIPAL. IZQUIERDA CALLE CAMPO ELIAS. DERECHA CALLE BARRIO SIMON RODRIGUEZ. REFERENCIA FRENTE HOSPITAL DE LIDICE.;10104006
314;4;1;1;4;ESC NUESTRA SE ORA DEL ROSARIO;CALLE LA LOMA EL MANICOMIO;10104007
320;4;1;1;4;AMBULATORIO URBANO T 1 MANICOMIO;ENTRADA HOSPITAL PSIQUIATRICO EL MANICOMIO;10104008
331;2;1;1;4;JARDIN DE INFANCIA CAMPO ELIAS;URB CAMPO ELIAS EL MANICOMIO BLOQUE 5;10104009
494;1;1;1;4;ESCUELA NACIOANL BASICA EL POLVORIN;SECTOR: LA PASTORA. FRENTE CALLE ENCARNACION. IZQUIERDA CALLE CIEGA. DERECHA CALLE CIEGA. REFERENCIA CALLE ENCARNACION A QUEBRADA, CALLE CIEGA;10104048
340;1;1;1;4;UNIDAD EDUCATIVA DISTRITAL  ALBERTINA ANDRESSEN;SECTOR: EL POLVORIN Y BARRIO SIN LEY. FRENTE CALLE PRIMERA CALLE . IZQUIERDA CALLEJÓN LA PILA. DERECHA CALLEJÓN TIERRA BLANCA. REFERENCIA FRENTE CENTRO ARTÍSTICO CULTURAL RAFUCHO Y SUS NIÑOS. CALLEJÓN SAN JOSÉ BARRIO SIN LEY.;10104010
341;1;1;1;4;UNIDAD EDUCATIVA DISTRITAL UNITARIA NUMERO  44;SECTOR LOS GUAYABITOS FRENTE CALLE REAL CAMINO DE LOS ESPA#OLES. DERECHA PROLONGACIÓN CALLE REAL CAMINO DE LOS ESPA#OLES. IZQUIERDA PROLONGACIÓN CALLE REAL CAMINO DE LOS ESPA#OLES DIAGONAL AL RANCHO DE MANOLO CASA;10104011
350;1;1;1;4;UNIDAD EDUCATIVA PRIVADA COLEGIO AGUSTINIANO SAN JUDAS TADEO;SECTOR: LA PASTORA. FRENTE CALLE REAL LA PASTORA . IZQUIERDA CALLE SAN RAFAEL . DERECHA CALLE  NORTE 10. REFERENCIA FRENTE A LA FARMACIA PUERTA CARACAS;10104012
360;1;1;1;4;CENTRO DE SALUD INTEGRAL DOCTOR JOSÉ IZQUIERDO;SECTOR PUERTA CARACAS FRENTE CALLE EL POLVORIN. DERECHA BULEVAR PLAZA ANDRES ELOY BLANCO. IZQUIERDA BULEVAR EL POLVORIN PLAZA ANDRES ELOY BLANCO CASA;10104013
370;1;1;1;4;LICEO BOLIVARIANO LINO GALLARDO;SECTOR: LOS MECEDORES. FRENTE CALLE REAL DE LOS MECEDORES. IZQUIERDA PROLONGACIÓN CALLE REAL DE LOS MECEDORES. DERECHA PROLONGACIÓN CALLE REAL DE LOS MECEDORES. REFERENCIA FRENTE A LA RESIDENCIA LOS MECEDORES;10104014
380;1;1;1;4;ESCUELA BÁSICA NACIONAL PARROQUIA LA PASTORA;SECTOR: LOS MECEDORES. FRENTE CALLE REAL LOS MECEDORES. IZQUIERDA VEREDA AL BLOUE 1 DE LA URBANIZACION DIEGO DE LOZADA. DERECHA VEREDA AL BLOUE 2 DE LA URBANIZACION DIEGO DE LOZADA. REFERENCIA FRENTE PLAZA DIEGO DE LOZADA;10104015
388;1;1;1;4;MATERNAL MANUEL CABRÉ;SECTOR: LOS ROBLES. FRENTE CALLE SEGUNDA  LA TROPICAL. IZQUIERDA CALLE LOS ROBLES. DERECHA CALLEJÓN TROPICAL. REFERENCIA ESTA SIGNADA CON EL NUMERO 6;10104016
389;1;1;1;4;PRE ESCOLAR MANUEL CABRÉ;SECTOR LOS ROBLES DERECHA CALLE LOS ROBLES. IZQUIERDA CALLE PRIMERA  LA TROPICAL. FRENTE CALLE SEGUNDA LA TROPICAL FRENTE AUTO REPUESTOS LINDARTE. CASA;10104017
390;1;1;1;4;UNIDAD EDUCATIVA NACIONAL BOLIVARIANA CRUCITA DELGADO;SECTOR MANICOMIO IZQUIERDA CALLE LA LOMA. FRENTE CALLE BOLIVAR. DERECHA PROLONGACIÓN CALLE BOLIVAR FRENTE PARQUE INFANTIL EDIFICIO;10104018
391;1;1;1;4;UNIDAD EDUCATIVA PRIMAVERA;SECTOR: MANICOMIO. FRENTE CALLE LA CEIBA. IZQUIERDA CALLE 5 DE JULIO. DERECHA CALLE BACHICHE. REFERENCIA FRENTE AUTO REPUESTOS LOS ROBLES;10104019
392;1;1;1;4;GRAN FRATERNIDAD UNIVERSAL. FUNDACIÓN DOCTOR SERGE RAYNAUO DE LA FERRIERE;SECTOR LIDICE DERECHA CALLE REAL DEL MANICOMIO Y ESQUINA GUAMITO. IZQUIERDA CALLE TRECE DE JULIO Y ESQUINA MINERVA. FRENTE CALLE NUEVA AGUA SALUD ADYACENTE A LA ESTACIÓN DE SERVICIOS 13 DE JULIO CASA;10104020
393;2;1;1;4;CIR INFANTIL;RES NAIGUATA TORRE C AV SUCRE;10104021
400;1;1;1;4;UNIDAD EDUCATIVA SAN FRANCISCO JAVIER;SECTOR: LIDICE. FRENTE CALLE REAL DE LIDICE. IZQUIERDA CALLE PRINCIPAL DE LIDICE. DERECHA CALLEJÓN REAL DE LIDICE. REFERENCIA AL LADO DE LA IGLESIA DE LIDICE.;10104022
401;4;1;1;4;DISPENSARIO DR CARLOS J BELLO;CALLE REAL DE LIDICE AL LADO IGLESIA;10104023
410;1;1;1;4;UNIDAD EDUCATIVA DISTRITAL  ENRIQUE CHAUMER;SECTOR: LIDICE. FRENTE CALLE REAL DE LIDICE. IZQUIERDA PROLONGACIÓN CALLE REAL DE LIDICE. DERECHA PROLONGACIÓN CALLE REAL DE LIDICE. REFERENCIA AL LADO DEL LICEO BOLIVARIANO PERÚ DE LACROIX;10104024
411;1;1;1;4;UNIDAD EDUCATIVA PRIVADA COLEGIO MODERNO;SECTOR: MANICOMIO. FRENTE CALLE PRINCIPAL  MANICOMIO. IZQUIERDA CALLE LOZADA. DERECHA CALLE BACHICHE. REFERENCIA AL LADO DE LA FARMACIA PRINCIPAL;10104025
412;1;1;1;4;UNIDAD EDUCATIVA DISTRITAL ANTONIO VAAMONDE;URBANIZACIÓN LA PASTORA DERECHA AVENIDA OESTE 15 ESQUINA SAN PASCUAL. IZQUIERDA AVENIDA OESTE 17 ESQUINA SANTA ANA. FRENTE AVENIDA NORTE 14 BOULEVAR BRASIL FRENTE AL EDIFICIO BRASIL CASA;10104026
413;1;1;1;4;UNIDAD EDUCATIVA PRIVADA INSTITUTO SAN JUDAS TADEO;SECTOR: MECEDORES. FRENTE CALLE CUARTA . IZQUIERDA PROLONGACIÓN CUARTA CALLE. DERECHA CALLE SABANA DEL BLANCO. REFERENCIA ADYACENTE A LA FUNERARIA;10104027
414;1;1;1;4;LICEO BOLIVARIANO PERÚ DE LA CROIX;SECTOR LIDICE DERECHA CALLE REAL DE MANICOMIO. FRENTE CALLE REAL DE LIDICE. IZQUIERDA PROLONGACIÓN CALLE REAL DE LIDICE AL LADO DE LA COMISARÍA DIEGO DE LOSADA DE LA POLICÍA EDIFICIO;10104028
420;1;1;1;4;UNIDAD EDUCATIVA NACIONAL BOLIVARIANA REPUBLICA DE BOLIVIA;SECTOR: LA PASTORA. FRENTE AVENIDA OESTE 15 . IZQUIERDA CALLE OESTE 15 Y ESQUINA NAZARENO. DERECHA CALLE NORTE 18. REFERENCIA FRENTE A LA ESQUINA SANTA ISABEL;10104029
421;1;1;1;4;UNIDAD EDUCATIVA PRIVADA COLEGIO AGUSTINIANO LA DIVINA PASTORA;SECTOR: LA PASTORA. FRENTE AVENIDA NORTE 22  ESQUINA SAN ANTONIO. IZQUIERDA CALLE OESTE 11. DERECHA CALLE  OESTE 13. REFERENCIA AL LADO DEL SANTUARIO NIÑO JESÚS DE PRAGA;10104030
430;1;1;1;4;UNIVERSIDAD CATÓLICA SANTA ROSA;SECTOR: SABANA DEL BLANCO. FRENTE CALLE SEMINARIO. IZQUIERDA CALLE CUARTA  SABANA DEL BLANCO. DERECHA AVENIDA BARALT. REFERENCIA AL LADO DEL COLEGIO SAN FRANCISCO JAVIER;10104031
440;1;1;1;4;UNIDAD EDUCATIVA NACIONAL BOLIVARIANA JOSÉ IGNACIO PAZ CASTILLO;SECTOR: SABANA DEL BLANCO. FRENTE CALLE SEXTA . IZQUIERDA PROLONGACIÓN SEXTA CALLE. DERECHA CALLE CALLE REAL DE LOS MECEDORES. REFERENCIA FRENTE AL TALLER CIRCULO OBRERO;10104032
460;1;1;1;4;UNIDAD EDUCATIVA LICEO BOLIVARIANO AGUSTÍN AVELEDO;SECTOR: LA PASTORA. FRENTE AVENIDA NORTE 14 . IZQUIERDA AVENIDA OESTE 13. DERECHA AVENIDA OESTE 11. REFERENCIA ENTRE ESQUINAS TAJAMAR  Y NATIVIDAD;10104033
461;1;1;1;4;UNIDAD EDUCATIVA PRIVADA MONSEÑOR CASTILLO;SECTOR LA PASTORA DERECHA AVENIDA OESTE 13. IZQUIERDA AVENIDA OESTE 11. FRENTE AVENIDA NORTE 10 FRENTE IGLESIA LA PASTORA CASA;10104034
